type,term
SAFE_PHRASE,시발점
BLOCKED_HANGUL,씨발
BLOCKED_HANGUL,시발
BLOCKED_HANGUL,ㅆㅂ
BLOCKED_HANGUL,ㅅㅂ
BLOCKED_HANGUL,병신
BLOCKED_HANGUL,븅신
BLOCKED_HANGUL,ㅂㅅ
BLOCKED_HANGUL,ㅄ
BLOCKED_HANGUL,지랄
BLOCKED_HANGUL,ㅈㄹ
BLOCKED_HANGUL,존나
BLOCKED_HANGUL,ㅈㄴ
BLOCKED_HANGUL,좆
BLOCKED_HANGUL,죶
BLOCKED_HANGUL,개새끼
BLOCKED_HANGUL,개색기
BLOCKED_HANGUL,개세끼
BLOCKED_HANGUL,염병
BLOCKED_ASCII,ssibal
BLOCKED_ASCII,sibal
BLOCKED_ASCII,byeongsin
BLOCKED_ASCII,byungsin
BLOCKED_ASCII,jiral
BLOCKED_ASCII,jolla
BLOCKED_ASCII,jonna
BLOCKED_ASCII,gaesaekki
BLOCKED_ASCII,gaesekki
BLOCKED_ASCII,gaesaeki
